name, pstate, timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB]
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:45.217, 1 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:45.219, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:45.221, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:45.223, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:45.224, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:46.227, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:46.231, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:46.233, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:46.237, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:46.239, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:47.241, 5 %, 0 %, 40960 MiB, 843 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:47.242, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:47.243, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:47.245, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:47.245, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:48.247, 5 %, 0 %, 40960 MiB, 1355 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:48.248, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:48.249, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:48.250, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:48.251, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:49.252, 18 %, 2 %, 40960 MiB, 1877 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:49.254, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:49.255, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:49.256, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:49.257, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:50.258, 22 %, 2 %, 40960 MiB, 1877 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:50.260, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:50.262, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:50.263, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:50.263, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:51.265, 22 %, 2 %, 40960 MiB, 1877 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:51.266, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:51.268, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:51.269, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:51.269, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:52.271, 23 %, 2 %, 40960 MiB, 1877 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:52.272, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:52.273, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:52.275, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:52.275, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:53.277, 23 %, 2 %, 40960 MiB, 1877 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:53.278, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:53.279, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:53.281, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:53.281, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:54.283, 22 %, 2 %, 40960 MiB, 1877 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:54.284, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:54.285, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:54.287, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:54.288, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:55.289, 22 %, 2 %, 40960 MiB, 1877 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:55.291, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:55.292, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:55.293, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:55.294, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:56.296, 22 %, 2 %, 40960 MiB, 1877 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:56.297, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:56.299, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA DGX Display, P8, 2023/02/21 15:17:56.300, 0 %, 0 %, 4096 MiB, 1 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:56.301, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:57.302, 3 %, 2 %, 40960 MiB, 2411 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:57.304, 0 %, 0 %, 40960 MiB, 0 MiB
NVIDIA A100-SXM4-40GB, P0, 2023/02/21 15:17:57.305, 0 %, 0 %, 40960 MiB, 0 MiB
