#Entity   POWER             TOTEC                   TXTPT          RXTPT          GPUTL             MCUTL             GRACT        SMACT        SMOCC        TENSO        DRAMA        FP64A        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       
ID         W                 mJ                     KB/            KB/                                                                                                                                                                                                                                                                        
GPU 0     60.048            1265183027              N/A            N/A            54                1                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        882006                      910603                      0                           0                           
GPU 1     49.348            917550329               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        75432                       464023                      0                           0                           
GPU 2     53.738            995571948               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        101684                      515201                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        123841                      736699                      0                           0                           
GPU 4     55.218            1026284984              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        221558                      733435                      0                           0                           
GPU 0     60.288            1265243527              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        882006                      910603                      0                           0                           
GPU 1     50.646            917600939               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        75432                       464023                      0                           0                           
GPU 2     54.795            995626717               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        101684                      515201                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        123841                      736699                      0                           0                           
GPU 4     56.521            1026341423              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        221558                      733435                      0                           0                           
GPU 0     63.373            1265306288              N/A            N/A            4                 0                 0.006        0.000        0.000        0.000        0.000        0.000        0.000        0.000        17774765                    34128410                    0                           0                           
GPU 1     50.646            917651647               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        766395                      949220                      0                           0                           
GPU 2     54.795            995681648               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        718012                      915924                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        134649                      693487                      0                           0                           
GPU 4     56.521            1026398151              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        742238                      926223                      0                           0                           
GPU 0     63.899            1265370327              N/A            N/A            5                 0                 0.026        0.000        0.000        0.000        0.000        0.000        0.000        0.000        63351095                    558284545                   0                           0                           
GPU 1     50.646            917702299               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        328827                      422831                      0                           0                           
GPU 2     54.795            995736593               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        274054                      392876                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        123401                      431981                      0                           0                           
GPU 4     56.521            1026454889              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        328452                      421166                      0                           0                           
GPU 0     57.976            1265429916              N/A            N/A            6                 0                 0.011        0.000        0.000        0.000        0.000        0.000        0.000        0.000        59632401                    527304518                   0                           0                           
GPU 1     50.646            917753002               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        253099                      399420                      0                           0                           
GPU 2     54.795            995791561               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        259006                      402510                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        93129                       462750                      0                           0                           
GPU 4     56.587            1026511561              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        128890                      330003                      0                           0                           
GPU 0     63.734            1265493874              N/A            N/A            22                2                 0.123        0.000        0.000        0.000        0.010        0.000        0.010        0.000        38133434                    327607164                   0                           0                           
GPU 1     50.406            917803702               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        219624                      327312                      0                           0                           
GPU 2     54.795            995846527               N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        171878                      289746                      0                           0                           
GPU 3     N/A               N/A                     N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        74124                       352720                      0                           0                           
GPU 4     56.521            1026568257              N/A            N/A            0                 0                 0.000        0.000        0.000        0.000        0.000        0.000        0.000        0.000        182174                      294757                      0                           0                           
GPU 0     63.899            1265557660              N/A            N/A            22                2                 0.219        0.099        0.041        0.011        0.019        0.000        0.010        0.000        8386543                     51165085                    0                           0                           
